[2025-02-28 14:24:56] DOCN: Atualizado: 42.42 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:24:57] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:24:57] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:24:58] KOLD: Atualizado: 23.4 (pre: None, pos: None, target: None)
[2025-02-28 14:24:58] LABD: Atualizado: 7.7099 (pre: None, pos: None, target: None)
[2025-02-28 14:24:59] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:24:59] MU: Atualizado: 94.02 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:25:00] NTLA: Atualizado: 10.24 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:25:00] PRCH: Atualizado: 6.92 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:25:01] SBIT: Atualizado: 13.54 (pre: None, pos: None, target: None)
[2025-02-28 14:25:01] TSLQ: Atualizado: 45.2236 (pre: None, pos: None, target: None)
[2025-02-28 14:25:02] TSLZ: Atualizado: 4.1601 (pre: None, pos: None, target: None)
[2025-02-28 14:25:02] XPEV: Atualizado: 21.175 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:25:16] Portfolio carregado com 23 entradas.
[2025-02-28 14:25:17] BABA: Atualizado: 132.585 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:25:17] BABX: Atualizado: 36.75 (pre: None, pos: None, target: None)
[2025-02-28 14:25:18] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:25:18] DOCN: Atualizado: 42.43 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:25:19] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:25:19] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:25:20] KOLD: Atualizado: 23.4221 (pre: None, pos: None, target: None)
[2025-02-28 14:25:20] LABD: Atualizado: 7.6901 (pre: None, pos: None, target: None)
[2025-02-28 14:25:21] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:25:21] MU: Atualizado: 94.05 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:25:22] NTLA: Atualizado: 10.24 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:25:22] PRCH: Atualizado: 6.96 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:25:23] SBIT: Atualizado: 13.5301 (pre: None, pos: None, target: None)
[2025-02-28 14:25:24] TSLQ: Atualizado: 45.06 (pre: None, pos: None, target: None)
[2025-02-28 14:25:25] TSLZ: Atualizado: 4.17 (pre: None, pos: None, target: None)
[2025-02-28 14:25:25] XPEV: Atualizado: 21.175 (pre: None, pos: None, target: 15.672488)
[2025-02-28 14:25:39] Portfolio carregado com 23 entradas.
[2025-02-28 14:25:40] BABA: Atualizado: 132.56 (pre: None, pos: None, target: 158.0228)
[2025-02-28 14:25:40] BABX: Atualizado: 36.815 (pre: None, pos: None, target: None)
[2025-02-28 14:25:41] BTCZ: Atualizado: 6.79 (pre: None, pos: None, target: None)
[2025-02-28 14:25:42] DOCN: Atualizado: 42.47 (pre: None, pos: None, target: 45.46154)
[2025-02-28 14:25:42] DZZ: Atualizado: 1.95 (pre: None, pos: None, target: None)
[2025-02-28 14:25:43] FIAT: Atualizado: 8.66 (pre: None, pos: None, target: None)
[2025-02-28 14:25:43] KOLD: Atualizado: 23.42 (pre: None, pos: None, target: None)
[2025-02-28 14:25:44] LABD: Atualizado: 7.71 (pre: None, pos: None, target: None)
[2025-02-28 14:25:44] LLYX: Atualizado: 24.0559 (pre: None, pos: None, target: None)
[2025-02-28 14:25:45] MU: Atualizado: 94.03 (pre: None, pos: None, target: 130.10394)
[2025-02-28 14:25:45] NTLA: Atualizado: 10.24 (pre: None, pos: None, target: 48.62667)
[2025-02-28 14:25:46] PRCH: Atualizado: 6.9482 (pre: None, pos: None, target: 7.25)
[2025-02-28 14:25:46] SBIT: Atualizado: 13.51 (pre: None, pos: None, target: None)
